City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Esteli,NI,13.0919,-86.3538,78.55,46,18,9.04,few clouds
79,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,58,100,17.27,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,71.83,76,76,11.79,broken clouds
81,Tiksi,RU,71.6872,128.8694,-27.78,100,89,3.27,overcast clouds
82,Sokolo,ML,14.7328,-6.1219,75.65,15,10,9.4,clear sky
83,Gouyave,GD,12.1646,-61.7296,75.97,83,20,17.27,few clouds
84,Manggar,ID,-2.8833,108.2667,76.93,89,99,5.3,overcast clouds
85,Cabo San Lucas,MX,22.8909,-109.9124,70.52,68,100,8.05,overcast clouds
86,Naze,JP,28.3667,129.4833,56.32,63,5,10.29,clear sky
87,Mogadishu,SO,2.0371,45.3438,77.14,82,87,20.96,overcast clouds
88,Kodiak,US,57.79,-152.4072,36.91,93,100,12.66,light rain
89,Kavieng,PG,-2.5744,150.7967,82.85,73,92,4.12,overcast clouds
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,86,10.56,overcast clouds
91,Lebu,CL,-37.6167,-73.65,61.47,79,27,4.43,scattered clouds
92,Kaeo,NZ,-35.1,173.7833,74.44,49,4,1.32,clear sky
93,Starozhilovo,RU,54.2254,39.916,32.7,85,99,18.79,overcast clouds
94,Cape Town,ZA,-33.9258,18.4232,70.92,78,0,12.66,clear sky
95,Harper,LR,4.375,-7.7169,79.75,82,32,7.27,scattered clouds
96,Sibu,MY,2.3,111.8167,73.71,100,40,3.44,scattered clouds
97,Vao,NC,-22.6667,167.4833,75.67,68,16,11.16,few clouds
98,Awjilah,LY,29.1081,21.2869,57.97,25,0,11.03,clear sky
99,Banjar,ID,-8.19,114.9675,77.41,91,100,3.8,overcast clouds
100,Lorengau,PG,-2.0226,147.2712,80.56,82,100,9.55,overcast clouds
101,Luderitz,NA,-26.6481,15.1594,65.89,77,3,15.21,clear sky
102,Egvekinot,RU,66.3167,-179.1667,-26.86,87,80,8.52,broken clouds
103,Narsaq,GL,60.9167,-46.05,25.02,95,100,0.09,overcast clouds
104,Lamu,KE,-2.2717,40.902,79.02,79,98,13.15,overcast clouds
105,Nikolskoye,RU,59.7035,30.7861,33.8,96,100,2.82,overcast clouds
106,Kapaa,US,22.0752,-159.319,80.92,85,75,9.22,light rain
107,Yenagoa,NG,4.9247,6.2642,79.09,82,98,4.27,overcast clouds
108,Cockburn Town,TC,21.4612,-71.1419,76.66,74,37,18.66,scattered clouds
109,Butaritari,KI,3.0707,172.7902,80.55,81,85,18.57,light rain
110,Olinda,BR,-8.0089,-34.8553,80.33,74,40,5.75,scattered clouds
111,Victoria,HK,22.2855,114.1577,62.33,63,75,11.99,broken clouds
112,Teo,ES,42.75,-8.5,54.45,93,100,5.75,overcast clouds
113,Port Blair,IN,11.6667,92.75,78.84,73,75,0.0,mist
114,Hambantota,LK,6.1241,81.1185,71.49,70,20,15.37,few clouds
115,Aswan,EG,24.0934,32.907,62.22,50,0,7.87,clear sky
116,Dikson,RU,73.5069,80.5464,-28.35,94,8,4.92,clear sky
117,Clyde River,CA,70.4692,-68.5914,-21.77,76,100,8.05,overcast clouds
118,Hasaki,JP,35.7333,140.8333,42.22,83,99,11.27,overcast clouds
119,Broome,US,42.2506,-75.833,40.62,90,100,9.22,overcast clouds
120,Auki,SB,-8.7676,160.7034,84.22,72,100,5.23,overcast clouds
121,Port Elizabeth,ZA,-33.918,25.5701,69.31,87,0,11.5,clear sky
122,Soyo,AO,-6.1349,12.3689,77.27,91,100,9.4,light rain
123,Ponnani,IN,10.767,75.9252,69.12,68,9,10.67,clear sky
124,Soure,BR,-0.7167,-48.5233,74.05,87,100,7.83,overcast clouds
125,Gamba,GA,-2.65,10.0,74.34,94,100,6.82,moderate rain
126,Bac Lieu,VN,9.285,105.7244,74.93,83,85,3.87,overcast clouds
127,Anloga,GH,5.7947,0.8973,80.96,83,35,9.6,scattered clouds
128,Faanui,PF,-16.4833,-151.75,80.38,76,11,17.31,light rain
129,Opunake,NZ,-39.4556,173.8583,67.62,70,8,14.97,clear sky
130,Longyearbyen,SJ,78.2186,15.6401,30.04,74,40,14.97,scattered clouds
131,Jacksonville,US,30.3322,-81.6556,78.91,71,100,17.27,overcast clouds
132,Iquitos,PE,-3.7481,-73.2472,78.84,83,40,3.44,scattered clouds
133,Upernavik,GL,72.7868,-56.1549,-11.16,96,100,8.3,light snow
134,Saskylakh,RU,71.9167,114.0833,-41.31,100,80,4.7,broken clouds
135,San Vicente,AR,-26.6167,-54.1333,72.68,70,20,2.51,few clouds
136,Yamada,JP,39.4667,141.95,40.98,69,62,0.83,broken clouds
137,Romny,UA,50.751,33.4747,44.91,83,100,17.27,overcast clouds
138,Port Keats,AU,-14.25,129.55,84.52,73,100,8.68,overcast clouds
139,Atasu,KZ,48.6814,71.6433,-4.58,72,2,5.68,clear sky
140,Kununurra,AU,-15.7667,128.7333,86.94,61,100,3.96,overcast clouds
