City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada tia Fabíola
426,Necochea,AR,75.45,scattered clouds,-38.5473,-58.7368,Cabañas Río Quequén
430,Port Shepstone,ZA,76.1,overcast clouds,-30.7414,30.455,The Spot Backpackers'
435,Koumac,NC,80.62,overcast clouds,-20.5667,164.2833,Monitel Koumac
436,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
439,Souillac,MU,77.38,heavy intensity rain,-20.5167,57.5167,Hotel SkylineInn
444,Ternate,ID,80.85,overcast clouds,0.8,127.4,Boulivard ternate
451,Nicoya,CR,79.02,overcast clouds,10.1483,-85.452,Hotel marianela
458,Tanete,ID,78.64,overcast clouds,-3.9443,119.7848,Hotel grand Sidny
464,Miramar,US,77.02,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
465,Namatanai,PG,84.96,overcast clouds,-3.6667,152.4333,Namatanai Hotel
485,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
486,Pangkalanbuun,ID,76.14,overcast clouds,-2.6833,111.6167,Hotel Tiara
488,Sampit,ID,76.21,light rain,-2.5333,112.95,Hotel Sultan
502,Sulangan,PH,78.85,overcast clouds,11.1373,123.7228,Marion's Inn
503,Conakry,GN,78.87,mist,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
505,Takoradi,GH,79.77,scattered clouds,4.8845,-1.7554,Hillcrest
512,Neuquen,AR,76.89,light rain,-38.9516,-68.0591,Hotel Argentina 307
527,Torres,BR,75.83,overcast clouds,-29.3353,-49.7269,Residencial Medusa
538,Prado,BR,75.94,broken clouds,-17.3411,-39.2208,Pousada Recanto do Prado
544,Pucallpa,PE,75.24,broken clouds,-8.3791,-74.5539,Hospedaje Cristofer
548,Guantanamo,CU,78.37,clear sky,20.1444,-75.2092,Martí
554,Bubaque,GW,78.49,few clouds,11.2833,-15.8333,Chez Julio
562,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Tropic Hotel
578,Fayaoue,NC,78.87,scattered clouds,-20.65,166.5333,Hôtel Beaupré
582,Oistins,BB,78.89,few clouds,13.0667,-59.5333,The Abidah By Accra
596,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Forum
604,General Roca,AR,79.63,light rain,-39.0333,-67.5833,Hotel Austral
611,Kingsland,US,76.95,broken clouds,30.8,-81.6898,Hampton Inn Kingsland
627,Kupang,ID,77.58,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
631,Ciudad Bolivar,VE,82.13,broken clouds,8.1222,-63.5497,Paoca
641,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Hotel California
649,Artigas,UY,82.63,scattered clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
656,Sao Jose Da Coroa Grande,BR,77.94,overcast clouds,-8.8978,-35.1478,Hotel do Sol
657,Port Hedland,AU,83.03,light rain,-20.3167,118.5667,The Esplanade Hotel
663,Kourou,GF,75.25,scattered clouds,5.1552,-52.6478,SCI Horizon
666,Manta,EC,80.38,few clouds,-0.95,-80.7333,La Gaviota
673,Lethem,GY,77.4,scattered clouds,3.3803,-59.7968,Hotel Amazonas
675,Rio Grande,BR,77.11,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
